image,xmin,ymin,xmax,ymax,label
"002.jpg,844.2177808407995,152.32996323529412,968.6009648518263,336.30055147058823,""High grade"""
"002.jpg,751.5920055134391,258.2123161764706,844.2177808407995,358.80055147058823,""High grade"""
"001.jpg,811.1371467953136,254.24172794117646,927.5809786354239,454.0946691176471,""High grade"""
"001.jpg,738.3597518952447,411.7417279411764,825.6926257753274,480.44117647058823,""High grade"""
"006.jpg,791.2887663680222,173.50643382352942,1124.7415575465197,476.5946691176471,""High grade"""
"003.jpg,1189.579600275672,587.7711397058823,1214.7208821502413,630.1240808823529,""benign finding"""
"009.jpg,739.6829772570642,334.97702205882354,887.8842177808409,529.5358455882354,""benign finding"""
"004.jpg,1230.5995864920744,432.91819852941177,1276.9124741557546,492.47702205882354,""benign finding"""
"005.jpg,641.7643004824259,366.61764705882354,834.9552033080635,554.6829044117646,""High grade"""
"012.jpg,710.5720192970367,667.0588235294117,958.0151619572711,856.4476102941176,""High grade"""
"012.jpg,705.2791178497588,483.21231617647055,775.4100620261888,655.2711397058823,""High grade"""
"011.jpg,741.0062026188835,614.1176470588234,866.7126119917299,705.4411764705882,""High grade"""
"011.jpg,738.3597518952447,521.5946691176471,784.672639558925,607.6240808823529,""High grade"""
"010.jpg,706.6023432115783,169.53584558823528,844.2177808407995,358.8005514705882,""benign finding"""
"013.jpg,624.5623707787732,138.97058823529412,878.6216402481048,307.05882352941177,""Invasive"""
"014.jpg,612.6533425223984,536.0294117647059,862.7429359062716,726.6176470588235,""Invasive"""
"019.jpg,547.815299793246,942.4770220588235,623.2391454169538,1057.624080882353,""Low grade"""
"019.jpg,520.0275671950379,254.24172794117646,860.0964851826327,567.7941176470588,""benign finding"""
"018.jpg,981.8332184700207,311.15349264705884,1081.0751206064783,386.5946691176471,""benign finding"""
"016.jpg,833.631977946244,436.88878676470586,1025.4996554100621,528.2123161764706,""benign finding"""
"017.jpg,907.7325982081323,451.4476102941176,963.3080634045486,496.4476102941176,""benign finding"""
"020.jpg,566.3404548587182,821.9117647058823,637.7946243969676,947.6470588235294,""Low grade"""
"025.jpg,858.7732598208133,651.3005514705882,915.671950379049,696.3005514705882,""Low grade"""
"022.jpg,729.0971743625087,391.88878676470586,1092.9841488628533,659.2417279411765,""High grade"""
"022.jpg,660.289455547898,37.05882352941176,842.89455547898,369.38878676470586,""High grade"""
"023.jpg,996.3886974500346,497.77113970588226,1092.9841488628533,593.0652573529411,""benign finding"""
"023.jpg,817.7532736044108,530.859375,910.3790489317712,601.0064338235294,""benign finding"""
"021.jpg,557.0778773259822,497.7711397058823,809.8139214334942,653.9476102941176,""High grade"""
"021.jpg,501.50241212956615,411.7417279411764,584.8656099241903,495,""High grade"""
"024.jpg,1309.9931082012406,295.2711397058823,1410.5582356995176,448.8005514705882,""benign finding"""
"028.jpg,815.1068228807719,333.65349264705884,1200.1654031702276,590.2941176470588,""benign finding"""
"028.jpg,660.289455547898,537.4770220588235,811.1371467953136,663.2123161764706,""benign finding"""
"029.jpg,808.4906960716747,644.6829044117646,854.803583735355,663.2123161764705,""benign finding"""
"027.jpg,738.3597518952447,483.2123161764705,956.6919365954516,616.8887867647059,""benign finding"""
"027.jpg,669.552033080634,595.5882352941177,735.7133011716057,660.5652573529412,""benign finding"""
"026.jpg,845.5410062026191,365.29411764705884,972.5706409372847,462.03584558823525,""Low grade"""
"030.jpg,688.0771881461062,431.5946691176471,770.1171605789111,451.4476102941177,""benign finding"""
"035.jpg,591.4817367332874,509.6829044117647,1040.055134390076,795.4411764705883,""High grade"""
"033.BMP,419.99999999999994,177.14285714285714,440.77922077922074,236.88311688311688,""benign finding"""
"032.BMP,329.09090909090907,309.09090909090907,345.71428571428567,338.7012987012987,""benign finding"""
"031.BMP,320.77922077922074,301.8181818181818,341.038961038961,330.9090909090909,""benign finding"""
"034.BMP,338.4415584415584,210.90909090909088,368.3116883116883,281.55844155844153,""benign finding"""
"041.jpg,842.89455547898,646.0064338235293,1009.6209510682288,720,""benign finding"""
"041.jpg,742.329427980703,526.7647058823529,809.8139214334942,603.6534926470588,""benign finding"""
"042.jpg,1024.1764300482428,291.30055147058823,1349.6898690558237,446.1534926470588,""benign finding"""
"042.jpg,885.237767057202,83.5064338235294,1004.3280496209511,188.06525735294116,""benign finding"""
"036.jpg,635.1481736733288,585.1240808823529,1050.6409372846313,798.2123161764706,""High grade"""
"036.jpg,1000.3583735354928,304.5358455882353,1087.6912474155754,514.9770220588235,""High grade"""
"036.jpg,747.6223294279808,47.771139705882355,887.8842177808409,178.80055147058823,""High grade"""
"037.BMP,193.7662337662337,125.71428571428571,433.50649350649337,211.4285714285714,""benign finding"""
"037.BMP,146.75324675324674,406.75324675324674,198.7012987012987,450.38961038961037,""benign finding"""
"038.BMP,387.27272727272725,119.99999999999999,486.23376623376623,178.7012987012987,""benign finding"""
"038.BMP,219.48051948051946,368.8311688311688,251.16883116883116,406.7532467532467,""benign finding"""
"047.jpg,647.0572019297036,176.1534926470588,705.2791178497588,328.359375,""High grade"""
"047.jpg,676.1681598897312,78.21231617647058,730.420399724328,173.5064338235294,""High grade"""
"046.BMP,209.09090909090907,179.2207792207792,249.61038961038957,214.025974025974,""benign finding"""
"045.BMP,173.76623376623374,186.4935064935065,206.49350649350646,208.3116883116883,""benign finding"""
"043.BMP,175.32467532467527,339.7402597402597,209.35064935064932,362.07792207792204,""Low grade"""
"043.BMP,231.42857142857142,353.7662337662337,253.24675324675323,375.064935064935,""Low grade"""
"044.BMP,161.29870129870125,337.6623376623376,195.8441558441558,355.3246753246753,""Low grade"""
"044.BMP,221.55844155844153,354.2857142857143,242.85714285714283,372.987012987013,""Low grade"""
"048.jpg,768.7939352170919,160.27113970588235,853.4803583735358,379.9770220588235,""High grade"""
"051.jpg,465.7753273604411,263.5064338235294,551.7849758787044,627.3529411764705,""High grade"""
"051.jpg,572.9565816678154,160.27113970588235,692.0468642315644,246.1764705882353,""High grade"""
"050.jpg,817.7532736044108,260.859375,920.9648518263267,356.15349264705884,""Low grade"""
"049.jpg,636.4713990351482,299.24172794117646,741.0062026188837,378.6534926470588,""Low grade"""
"052.jpg,616.6230186078568,459.2647058823529,677.4913852515507,597.0358455882352,""High grade"""
"052.jpg,948.7525844245349,230.41819852941177,1073.1357684355619,309.70588235294116,""High grade"""
"052.jpg,1127.3880082701585,573.2123161764706,1186.933149552033,705.5652573529412,""High grade"""
"052.jpg,580.8959338387319,766.4476102941177,972.5706409372847,941.1534926470588,""High grade"""
"054.jpg,864.066161268091,615.4411764705882,972.5706409372847,684.3887867647059,""benign finding"""
"054.jpg,645.7339765678843,721.4476102941177,926.2577532736045,810.1240808823529,""benign finding"""
"053.jpg,681.461061337009,589.0946691176471,948.7525844245349,649.9770220588235,""benign finding"""
"053.jpg,821.7229496898691,393.21231617647055,963.3080634045486,499.094669117647,""benign finding"""
"055.BMP,179.99999999999994,342.85714285714283,207.27272727272725,373.5064935064935,""benign finding"""
"055.BMP,247.012987012987,249.87012987012986,283.89610389610385,291.94805194805195,""benign finding"""
"057.BMP,140,346.49350649350646,241.55844155844153,393.2467532467532,""benign finding"""
"056.BMP,133.24675324675323,324.67532467532465,247.5324675324675,364.15584415584414,""benign finding"""
"060.jpg,828.3390764989663,467.3299632352941,869.3590627153687,581.1534926470588,""benign finding"""
"061.jpg,849.5106822880772,553.359375,939.4900068917988,627.4770220588235,""benign finding"""
"059.BMP,350.38961038961037,79.48051948051948,403.89610389610385,179.2207792207792,""benign finding"""
"059.BMP,249.87012987012986,30.129870129870127,278.9610389610389,49.870129870129865,""benign finding"""
"058.BMP,508.8311688311687,304.41558441558436,577.6623376623376,384.9350649350649,""benign finding"""
"062.BMP,338.9610389610389,215.58441558441555,364.41558441558436,273.7662337662337,""High grade"""
"062.BMP,325.97402597402595,334.025974025974,363.89610389610385,393.7662337662337,""High grade"""
